country,short_cycle_total,short_cycle_men,short_cycle_women,bachelor_total,bachelor_men,bachelor_women,master_total,master_men,master_women,doctoral_total,doctoral_men,doctoral_women,bachelor_check
EU,38612.0,16317.0,22294.0,772875,377851,395024,786432,383548,402884,158749.0,84124.0,74625.0,0
Belgium,1316.0,353.0,963.0,29598,11457,18141,21286,9332,11954,5081.0,2763.0,2318.0,0
Bulgaria,0.0,0.0,0.0,5667,3280,2387,12789,6040,6749,794.0,432.0,362.0,0
Czechia,69.0,19.0,50.0,29800,14504,15296,20772,9370,11402,5635.0,3063.0,2572.0,0
Denmark,2341.0,1059.0,1282.0,9713,4193,5520,13920,6385,7535,3700.0,1954.0,1746.0,0
Germany,0.0,0.0,0.0,153841,85159,68682,221295,118546,102749,48061.0,25071.0,22990.0,0
Estonia,0.0,0.0,0.0,1719,980,739,2388,1134,1254,763.0,438.0,325.0,0
Ireland,734.0,417.0,317.0,15187,6734,8453,9895,4490,5405,4289.0,2061.0,2228.0,0
Greece,0.0,0.0,0.0,24902,11662,13240,662,300,362,763.0,397.0,366.0,0
Spain,9478.0,3629.0,5849.0,27333,12371,14962,45699,20628,25071,19652.0,10224.0,9428.0,0
France,13257.0,5601.0,7657.0,96169,43520,52649,141361,69713,71649,25429.0,13604.0,11826.0,0
Croatia,0.0,0.0,0.0,2806,1314,1492,2731,1142,1589,392.0,190.0,202.0,0
Italy,0.0,0.0,0.0,45679,20390,25289,54897,24619,30278,5874.0,3416.0,2458.0,0
Cyprus,425.0,318.0,107.0,7332,4824,2508,3297,1542,1755,741.0,333.0,408.0,0
Latvia,70.0,46.0,24.0,4566,3425,1141,5198,2687,2511,246.0,172.0,74.0,0
Lithuania,0.0,0.0,0.0,6098,3391,2707,4609,2357,2252,302.0,170.0,132.0,0
Luxembourg,78.0,29.0,49.0,745,313,432,2430,1170,1260,917.0,520.0,397.0,0
Hungary,126.0,53.0,73.0,20338,10227,10111,18142,8287,9855,3124.0,1659.0,1465.0,0
Malta,662.0,365.0,298.0,2932,1434,1498,2039,929,1110,609.0,330.0,279.0,0
Netherlands,4279.0,1500.0,2779.0,112041,50174,61867,53139,22883,30256,,,,0
Austria,1343.0,527.0,816.0,37708,17156,20552,39723,17949,21773,8236.0,4234.0,4002.0,0
Poland,22.0,7.0,15.0,61211,33181,28030,27442,14142,13300,1002.0,588.0,414.0,0
Portugal,3837.0,2095.0,1742.0,22971,10784,12187,21795,10116,11679,8172.0,4318.0,3854.0,0
Romania,0.0,0.0,0.0,13222,6673,6549,22090,10797,11293,904.0,560.0,344.0,0
Slovenia,514.0,273.0,241.0,4684,1927,2757,2497,1065,1432,804.0,389.0,415.0,0
Slovakia,46.0,22.0,24.0,13623,7239,6384,6708,3132,3576,885.0,574.0,311.0,0
Finland,0.0,0.0,0.0,15069,8329,6740,9851,5147,4704,5426.0,2898.0,2528.0,0
Sweden,15.0,5.0,10.0,7921,3211,4710,19777,9646,10132,6948.0,3766.0,3182.0,0
Iceland,183.0,64.0,119.0,805,233,572,767,275,492,334.0,163.0,171.0,0
Liechtenstein (Â¹),0.0,0.0,0.0,358,185,173,276,170,106,197.0,141.0,56.0,0
Norway,100.0,43.0,57.0,4657,1940,2717,6904,3601,3303,2480.0,1432.0,1048.0,0
Switzerland (Â²),0.0,0.0,0.0,23077,11594,11483,27163,13072,14091,15949.0,8367.0,7582.0,0
North Macedonia,0.0,0.0,0.0,5217,3003,2214,622,204,418,339.0,170.0,169.0,0
Albania,18.0,9.0,9.0,616,322,294,1369,597,772,9.0,9.0,0.0,0
Serbia,0.0,0.0,0.0,7527,3507,4020,3154,1341,1813,738.0,405.0,333.0,0
TÃ¼rkiye,40546.0,21906.0,18640.0,193860,119743,74117,55763,30729,25034,11049.0,7192.0,3857.0,0
