country,origin_1,origin_1_share,origin_2,origin_2_share,origin_3,origin_3_share
EU,China (including Hong Kong),5.610099237088499,Ukraine,5.095233204952844,India,5.004570916621566
Belgium,France,33.35137305563799,Netherlands,7.267680382674883,Cameroon,5.914701209825248
Bulgaria,Greece,20.87792207792208,United Kingdom,14.399999999999999,Germany,9.418181818181818
Czechia,Slovakia,38.206340180538774,Russia,13.826497974269673,Ukraine,11.601748525126164
Denmark,Germany,10.945608950596482,Norway,9.503268854889804,China (including Hong Kong),5.543573498685718
Germany,India,10.145865873340313,China (including Hong Kong),8.795194672930101,Austria,4.259718287227934
Estonia,Finland,17.498459642637094,Ukraine,10.679811049496816,Russia,9.262682275621277
Ireland,India,15.32635774788241,China (including Hong Kong),12.795216741405083,United States,9.696063776781266
Greece,Cyprus,57.51889694989934,Albania,5.940669274888897,Germany,4.915106164773806
Spain,France,11.609991973532233,Colombia,9.379221236859106,Ecuador,6.4652219024686275
France,Morocco,12.837008583830828,Algeria,9.186979802112107,China (including Hong Kong),7.872433630080697
Croatia,Bosnia and Herzegovina,48.507336819025134,Germany,8.719851576994433,France,5.532130207454883
Italy,Iran,9.92484734617191,China (including Hong Kong),5.968999530295913,India,5.299201503053077
Cyprus,Greece,37.07503179313269,India,19.618482407799913,Nepal,8.291649003815175
Latvia,India,17.40079365079365,Uzbekistan,13.16468253968254,Ukraine,12.202380952380953
Lithuania,Ukraine,19.547642837678264,Belarus,12.753201925697159,India,7.121446089563084
Luxembourg,France,22.637889688249402,Germany,11.846522781774581,Belgium,8.6810551558753
Hungary,Germany,8.006230529595015,Romania,6.875149772346035,China (including Hong Kong),5.9453630481667865
Malta,Italy,22.07625760974047,India,16.38897789170138,Germany,11.630887536046139
Netherlands,Germany,18.644094942182647,Italy,4.777539319004452,China (including Hong Kong),4.32589128415388
Austria,Germany,43.87771520514883,Italy,10.872313527180784,Bosnia and Herzegovina,2.7364670727502585
Poland,Ukraine,43.60315353992662,Belarus,12.429050927216565,Zimbabwe,3.6843337756615404
Portugal,Brazil,29.992073976221928,Guinea-Bissau,12.170849845882872,Cabo Verde,11.358872743284897
Romania,Moldova,33.369229070024296,France,10.412524850894632,Italy,7.861166335321405
Slovenia,
Slovakia,Ukraine,48.08108362336563,Czechia,14.382466371931143,Russia,4.519800583200075
Finland,China (including Hong Kong),8.090028339814143,Russia,6.676332959862914,Viet Nam,5.990904896856257
Sweden,China (including Hong Kong),8.130175124780012,India,7.988805862496755,Germany,7.163670984680189
Iceland,United States,13.738630923887026,Germany,8.472953566299665,Philippines,5.887984681665869
Liechtenstein,Austria,38.1468110709988,Germany,26.233453670276774,Switzerland,24.6690734055355
Norway,Iran,6.3008273813733116,Germany,5.968460504914787,Pakistan,5.3956580156990315
Switzerland,Germany,18.620918883802446,France,18.534801855293175,Italy,10.660381634410552
North Macedonia,Turkiye,54.77500809323406,Kosovo,31.644545160246036,Serbia,5.373907413402396
Albania,Italy,51.54075546719682,Kosovo,18.78727634194831,Greece,7.107355864811134
Serbia,Bosnia and Herzegovina,52.03608021718189,Montenegro,25.676504072160434,Croatia,2.889920308258166
Turkiye,Syria,19.32487434349873,Azerbaijan,11.369506470396855,Iran,7.513495209449634
